"","article","project","views_ceil","rank","date","country","access"
"1","Main Page","en.wikipedia",225300,1,2023-04-20,"CA","all-access"
"2","Special:Search","en.wikipedia",59700,2,2023-04-20,"CA","all-access"
"3","Wikipédia:Accueil principal","fr.wikipedia",27900,3,2023-04-20,"CA","all-access"
"4","Moon Bin","en.wikipedia",16600,4,2023-04-20,"CA","all-access"
"5","ChatGPT","en.wikipedia",13000,5,2023-04-20,"CA","all-access"
"6","Robert F. Kennedy Jr.","en.wikipedia",10700,6,2023-04-20,"CA","all-access"
"7","420 (cannabis culture)","en.wikipedia",9800,7,2023-04-20,"CA","all-access"
"8","Deaths in 2023","en.wikipedia",9300,8,2023-04-20,"CA","all-access"
"9","Wikipedia:Featured pictures","en.wikipedia",8400,9,2023-04-20,"CA","all-access"
"10","SpaceX Starship","en.wikipedia",8100,10,2023-04-20,"CA","all-access"
"11","Dillon Brooks","en.wikipedia",7700,11,2023-04-20,"CA","all-access"
"12","Spécial:Recherche","fr.wikipedia",7100,12,2023-04-20,"CA","all-access"
"13","Moonbin","en.wikipedia",6800,13,2023-04-20,"CA","all-access"
"14","Astro (South Korean band)","en.wikipedia",6800,14,2023-04-20,"CA","all-access"
"15","Beef (TV series)","en.wikipedia",6000,15,2023-04-20,"CA","all-access"
"16","Eid al-Fitr","en.wikipedia",5900,16,2023-04-20,"CA","all-access"
"17","Elon Musk","en.wikipedia",5800,17,2023-04-20,"CA","all-access"
"18","The Super Mario Bros. Movie","en.wikipedia",5400,18,2023-04-20,"CA","all-access"
"19","The Mandalorian","en.wikipedia",5300,19,2023-04-20,"CA","all-access"
"20","Evil Dead Rise","en.wikipedia",5300,20,2023-04-20,"CA","all-access"
"21","Cleopatra","en.wikipedia",5300,21,2023-04-20,"CA","all-access"
"22","Main Page","commons.wikimedia",5200,22,2023-04-20,"CA","all-access"
"23","Pamela Chopra","en.wikipedia",4900,23,2023-04-20,"CA","all-access"
"24","Tyler Bertuzzi","en.wikipedia",4700,24,2023-04-20,"CA","all-access"
"25","Portal:Current events","en.wikipedia",4600,25,2023-04-20,"CA","all-access"
